Familiarity,Preference,
1,2.8,
1,3.4,
1,3.2,
2.8,3.8,
1,3.8,
1,2.6,
1,3,
1,3.2,
1,2.6,
1,3,
1.6,3.2,
1.4,3.4,
1,3,
1.6,3.8,
1.8,4,
1,3.4,
1,3.4,
1,3.2,
1,3,
2.2,4.2,
1.4,3.8,
1.4,3.2,
1,2.6,
1.2,3.2,
1,3,
1,3,
1,2.2,
1,3,
2.4,3.8,
1.2,3,
1.2,3.4,
1,2.6,
2.4,4,
1,3.8,
1,2,
1,3,
1.2,2.8,
1.4,1.8,
1,3.6,
1.2,2.6,
1.8,3.2,
1,3.4,
1,3.8,
1,3.4,
1,2,
1,3.4,
1,3.2,
1,3.2,
1.6,3.4,
1.2,3,
1.6,3.8,
1,2.8,
1,3,
1.2,3,
1,2.6,
1,3.2,
1,3.2,
2,3,
1.2,3,
2.2,3.8,
1.4,3.2,
2.8,3.8,
1.8,4.4,
2.2,3.8,
1.4,3.2,
2,3.4,
1,3.6,
1,3,
1.2,2.8,
3.4,4.8,
2.2,4.2,
2,4,
1,4,
1,3.6,
1,3.2,
1.2,3.6,
1.6,4.2,
2.8,3.4,
2.2,4,
1.6,3.4,
1,3.4,
1,2.8,
1.2,3.2,
1.8,3.4,
1,3,
1,3.4,
2.8,3.6,
2.666666667,4,
1.666666667,3.333333333,
2,4,
2.75,3.75,
2.25,3.5,
3.333333333,4.666666667,
3,3,
4,4,
3,4.666666667,
1.666666667,2.666666667,
3,3.666666667,
4,5,
4,4,
4,5,
1,3.5,
1,2.5,
1,3.5,
1,3.5,
1,3,
3.5,4.5,
2.5,4.5,
3.5,4.5,
2.5,3.5,
1,3,
4,4,
4,4,
4,5,
4,5,
2,4,
1,3.5,
1,3.5,
1,2.5,
3,3,
1,3,
2.5,4.5,
1,3,
1,2.5,
2.5,2.5,
1,2.5,
3.5,3.5,
1.5,3.5,
1,2,
1,4.5,
1.666666667,3,
1,3,
1,3.5,
1.333333333,3,\
1,3,
3,4.666666667,
2.666666667,3.666666667,
2,4.666666667,
1,3,
1,2.333333333,
1,3.5,
1,2.75,
1,3.75,
1,3.25,
2.5,4,
